target,config_id,algorithm,feature_set,deployable_from_manual_ui,alpha,k,transformed,max_depth,learning_rate,n_estimators,mae,rmse,median_ae,max_ae,bias,r2,spearman
yield,knn|manual_core|k=4|transformed=True,knn,manual_core,True,,4,True,,,,7.595422333844857,10.51531618351567,5.376199120868456,26.323920981318352,4.335168655841573,-0.23908539090529857,0.08423630975379005
yield,knn|physchem_compact|k=4|transformed=True,knn,physchem_compact,False,,4,True,,,,7.629561195009606,9.750377511281238,5.307044624716681,22.209782118714486,3.1379120960032267,-0.06536745656868348,0.14663607660917719
yield,knn|mechanism_hybrid|k=4|transformed=False,knn,mechanism_hybrid,False,,4,False,,,,7.636644389795939,9.553004436599956,7.267357461634788,24.232501150420404,3.469673513750701,-0.022672372283206288,0.2008948590547275
yield,knn|manual_core|k=3|transformed=False,knn,manual_core,True,,3,False,,,,7.645373853876885,10.36585052598512,6.18379756304693,22.35287073251628,3.4118720115101007,-0.20411079202136162,0.1395915990205664
yield,knn|manual_core|k=3|transformed=True,knn,manual_core,True,,3,True,,,,7.687738911389688,10.518833204612344,6.293598421679121,22.5405569541698,3.8792179676142244,-0.2399143946496205,0.0660590535789577
yield,knn|manual_core|k=5|transformed=False,knn,manual_core,True,,5,False,,,,7.687830066146437,10.414553904204455,5.979279514765452,26.30810664626223,3.9885437008152342,-0.21545226980870402,0.05654897626977485
yield,knn|mechanism_hybrid|k=4|transformed=True,knn,mechanism_hybrid,False,,4,True,,,,7.722040581623466,9.724686183739403,7.213007614809463,24.381943708069485,4.323654902286782,-0.05976056706477251,0.2335188105251533
yield,knn|physchem_compact|k=3|transformed=False,knn,physchem_compact,False,,3,False,,,,7.727731092744429,9.932382933025323,6.5874014666812,23.130602205056675,2.4124903797801402,-0.10551203455173486,0.1184764553399675
yield,knn|interaction_hybrid|k=4|transformed=False,knn,interaction_hybrid,False,,4,False,,,,7.743932055149322,10.751302360929255,4.075787421837539,25.63064257349987,4.011402539519399,-0.2953249065104955,0.07041109028573468
yield,knn|manual_core|k=6|transformed=False,knn,manual_core,True,,6,False,,,,7.782070556957094,10.333346103000176,5.602105315613329,27.72204978514506,3.991400248901127,-0.19657111893519863,0.03970460035962915
yield,xgboost|steric_hybrid|max_depth=2|learning_rate=0.1|n_estimators=100,xgboost,steric_hybrid,False,,,,2,0.1,100,7.817840639197211,10.107872320392794,5.68633450294957,26.326888643630042,2.7046546014933783,-0.1449224189951801,0.21875217985959217
yield,xgboost|manual_core|max_depth=1|learning_rate=0.05|n_estimators=100,xgboost,manual_core,True,,,,1,0.05,100,7.819619947921219,10.277708477573661,5.850826587455252,28.953417620319996,2.8539423846784833,-0.18372046097395578,-0.17745304631260606
yield,knn|manual_core|k=5|transformed=True,knn,manual_core,True,,5,True,,,,7.8417369627413525,10.665074633158774,5.74684206793124,26.862179968687116,4.511427566835323,-0.27463066516233026,0.022172698902130562
yield,knn|interaction_hybrid|k=6|transformed=False,knn,interaction_hybrid,False,,6,False,,,,7.847127746643106,11.002917532381261,4.989598958744018,29.157191896604786,4.387864977972755,-0.3566639363384867,-0.034346873310114476
yield,knn|physchem_compact|k=2|transformed=False,knn,physchem_compact,False,,2,False,,,,7.85569750040471,10.475708401288426,6.621064047606154,25.0,2.413050049412912,-0.22976850606666743,0.192646038835036
yield,ridge|mechanism_hybrid|alpha=10.0,ridge,mechanism_hybrid,False,10.0,,,,,,7.900297322977602,10.612757056482415,4.8621957057840675,27.09328926717994,3.306520468410374,-0.26215592370837637,-0.007898430355997833
yield,knn|interaction_hybrid|k=5|transformed=False,knn,interaction_hybrid,False,,5,False,,,,7.913882074129323,11.13143286082921,4.524488671745232,28.02664290787395,4.188839765670323,-0.38854099750945426,-0.0010304061993034344
yield,knn|manual_core|k=6|transformed=True,knn,manual_core,True,,6,True,,,,7.945165030972742,10.608271576320154,5.500828946748825,28.364871815658958,4.532773678089454,-0.26108924915102416,-0.016328731749631037
yield,knn|physchem_compact|k=3|transformed=True,knn,physchem_compact,False,,3,True,,,,7.973151663410514,10.259780801569505,6.341983115282218,22.93311777474878,2.850931573897986,-0.17959447346110702,0.019574370882255502
yield,knn|discriminating_2d|k=3|transformed=True,knn,discriminating_2d,True,,3,True,,,,7.976847587877199,10.28282925962244,4.916559263641211,22.425393935296043,2.7919766166509508,-0.1849003124096884,-0.0199211865198664
yield,knn|qmdesc_hybrid|k=3|transformed=False,knn,qmdesc_hybrid,False,,3,False,,,,8.004236856186388,11.429566023432807,3.634344341574561,33.68200744730203,5.366338233939023,-0.4639156244809781,-0.074176563343284
yield,xgboost|steric_hybrid|max_depth=2|learning_rate=0.05|n_estimators=100,xgboost,steric_hybrid,False,,,,2,0.05,100,8.005372249238631,10.423891452750569,5.523192609804603,28.494522915659942,2.9445703438589796,-0.2176327630902961,0.1373874932404579
yield,ridge|mechanism_hybrid|alpha=30.0,ridge,mechanism_hybrid,False,30.0,,,,,,8.005722586991189,10.590933890753917,6.182695294504462,29.230226973170872,2.902378032164297,-0.2569704817078484,-0.024038701083471666
yield,ridge|mechanism_hybrid|alpha=0.3,ridge,mechanism_hybrid,False,0.3,,,,,,8.018948487010887,10.309420167312927,5.011990472857967,21.42423990322456,-0.30220323408312966,-0.1910364277877823,0.35474254598894617
yield,knn|physchem_compact|k=2|transformed=True,knn,physchem_compact,False,,2,True,,,,8.056917718096344,10.813243960682154,6.585467869568575,25.0,2.806959380645576,-0.3102934418868586,0.1314976987224355
yield,xgboost|manual_core|max_depth=2|learning_rate=0.05|n_estimators=100,xgboost,manual_core,True,,,,2,0.05,100,8.058759693324358,10.53476824271059,5.672557763254844,28.642650035944357,3.141789218828518,-0.24367394640729323,-0.13175144489544166
yield,xgboost|manual_core|max_depth=1|learning_rate=0.1|n_estimators=100,xgboost,manual_core,True,,,,1,0.1,100,8.061547102429252,10.597487128309531,6.103950516874306,28.414942194294582,2.863911256004049,-0.25852648700099246,-0.14027568646437819
yield,knn|qmdesc_hybrid|k=3|transformed=True,knn,qmdesc_hybrid,False,,3,True,,,,8.064652440863977,11.612718824705917,3.578694142694708,33.836405046690075,5.84953610783459,-0.5112084945815119,-0.045330122043118
yield,knn|interaction_hybrid|k=4|transformed=True,knn,interaction_hybrid,False,,4,True,,,,8.0683620901385,11.094219681299887,4.499426431306823,26.157114411021197,4.683542636633348,-0.37927253145966144,0.07350230888364499
yield,xgboost|discriminating_2d|max_depth=1|learning_rate=0.05|n_estimators=100,xgboost,discriminating_2d,True,,,,1,0.05,100,8.13990549933306,10.599953224903285,6.401120936004034,28.46977538774891,2.236164194714293,-0.25911228794862695,-0.24411338744975897
