target,config_id,algorithm,feature_set,deployable_from_manual_ui,alpha,k,transformed,max_depth,learning_rate,n_estimators,mae,rmse,median_ae,max_ae,bias,r2,spearman
ee,ridge|qmdesc_hybrid|alpha=0.3,ridge,qmdesc_hybrid,False,0.3,,,,,,9.205344628223532,13.211001435896897,6.323563606110945,49.89747659619559,2.618405194872355,-0.3496689146488794,0.22478408000094266
ee,ridge|discriminating_2d|alpha=0.3,ridge,discriminating_2d,True,0.3,,,,,,9.522634384054864,14.601690943990615,5.880670929612208,50.08975903787508,3.366183201723928,-0.6487775672016638,0.3905173951915557
ee,ridge|mechanism_hybrid|alpha=0.1,ridge,mechanism_hybrid,False,0.1,,,,,,9.544558135921417,15.898702880175877,2.931355612528037,49.48866380659476,-2.7185909104611437,-0.954695675985497,0.5760521683204585
ee,ridge|mechanistic_full|alpha=0.1,ridge,mechanistic_full,False,0.1,,,,,,10.172826497415937,16.895485083863893,4.586965840598012,50.02078436108049,-0.2620692230963695,-1.207481620802708,0.4292894738855923
ee,ridge|mechanism_hybrid|alpha=0.03,ridge,mechanism_hybrid,False,0.03,,,,,,10.18936395126451,17.274382878243983,3.1390741837237144,55.780934972570485,-3.6544711742582248,-1.3076016905959795,0.5774269944978343
ee,ridge|physchem_compact|alpha=3.0,ridge,physchem_compact,False,3.0,,,,,,10.549412043998696,17.387382757337367,5.886923267179974,56.40493889252648,-2.4059440475738003,-1.3378906550917828,0.45438005162270056
ee,ridge|mechanistic_full|alpha=0.03,ridge,mechanistic_full,False,0.03,,,,,,12.326091971900185,20.8289606284906,5.852338796744029,69.11564480987381,-2.0096193385007624,-2.3549879448102287,0.40557372232585986
ee,ridge|steric_hybrid|alpha=0.3,ridge,steric_hybrid,False,0.3,,,,,,12.913284049869237,18.307292148013108,8.052397534376844,48.75430505623381,-1.121018394863984,-1.5918149464156084,0.30967959645389803
ee,ridge|physchem_compact|alpha=1.0,ridge,physchem_compact,False,1.0,,,,,,13.294648496685552,25.233635375538594,4.706396292155347,91.0,-5.3457945393859045,-3.923970159736979,0.518996881959363
ee,ridge|discriminating_2d|alpha=0.1,ridge,discriminating_2d,True,0.1,,,,,,13.300509383022218,21.451655717451292,7.512589951798724,75.03187736671084,1.5313410585993286,-2.5585854800215175,0.25816774981413587
ee,ridge|physchem_compact|alpha=0.3,ridge,physchem_compact,False,0.3,,,,,,14.424149577592717,28.034375968214913,4.269161661861816,91.0,-6.534715741086984,-5.077676117493418,0.55268012330507
ee,ridge|qmdesc_hybrid|alpha=0.1,ridge,qmdesc_hybrid,False,0.1,,,,,,14.46546373196343,20.79736333982895,10.11697168352864,58.82004041544157,-1.709011374437942,-2.3448167108638036,0.11307945308915922
ee,ridge|physchem_compact|alpha=0.1,ridge,physchem_compact,False,0.1,,,,,,14.860439401509527,29.115368852473978,4.2276352851524095,91.0,-6.957354889115488,-5.555417538081742,0.5601655769935212
ee,ridge|physchem_compact|alpha=0.03,ridge,physchem_compact,False,0.03,,,,,,14.979939348483516,29.42900009790577,4.061464774935175,91.0,-7.079477972243433,-5.697408341853614,0.5498526176134624
ee,ridge|discriminating_2d|alpha=0.03,ridge,discriminating_2d,True,0.03,,,,,,17.04583051439152,25.16092630264061,8.364714840345663,80.0,-1.613264204610947,-3.895634844731772,0.18013302383835844
ee,ridge|steric_hybrid|alpha=0.1,ridge,steric_hybrid,False,0.1,,,,,,18.13134906752718,28.967614318265227,8.773230454573508,90.0,-6.404963175252137,-5.4890515603691865,0.2773711812855668
ee,ridge|steric_hybrid|alpha=0.03,ridge,steric_hybrid,False,0.03,,,,,,19.978377417421918,33.208478549231735,9.459712544679213,90.0,-9.555354446791883,-7.528128261954725,0.2719183623208808
ee,ridge|qmdesc_hybrid|alpha=0.03,ridge,qmdesc_hybrid,False,0.03,,,,,,24.870407440136514,36.08028501716485,12.986481500078256,90.0,-11.210586905965956,-9.066898389743509,0.09316039973319681
