record_id,screen_axis,entry,photocatalyst,pc_mol_pct,copper_source,cu_mol_pct,ligand,ligand_mol_pct,solvent,temp_c,scale_mmol,time_h,light_nm,yield_status,yield_pct,ee_pct,source_table,source_pdf_page,source_doi,model_role,notes,temperature_k,solvent_smiles,solvent_dielectric_constant,solvent_reichardt_et30_kcal_mol,solvent_descriptor_quality,solvent_dielectric_source,solvent_et30_source,photocatalyst_class,copper_oxidation_state_nominal,copper_ligand_class,copper_contains_cyanide,ligand_family,fixed_deoxygenation_reagent,fixed_cyanide_source,reaction_family,solvent_id_ch3cn,solvent_id_chcl3,solvent_id_dce,solvent_id_dcm,solvent_id_mtbe,solvent_id_phcl,solvent_id_acetone,pc_class_ir_cationic_cyclometalated,pc_class_ir_neutral_cyclometalated,pc_class_none,pc_class_organic_donor_acceptor,pc_class_organic_hydrocarbon,pc_class_organic_quinone,pc_class_organic_xanthene,copper_id_cu_ch3cn_4bf4,copper_id_cu_ch3cn_4pf6,copper_id_cubr,copper_id_cubr2,copper_id_cucn,copper_id_cucl,copper_id_cucl2,ligand_id_l1,ligand_id_l2,ligand_id_l3,ligand_id_l4,ligand_id_l5,ligand_id_l6
LIG-01,ligand,1,fac-Ir(ppy)3,1,CuCN,5,L1,6,DCM,25,0.1,12,450-465,measured,90.0,90.0,Table S4,17,10.1021/acs.orglett.5c05116,duplicate_anchor,same condition as CU-05,298.15,ClCCl,8.93,40.7,tabulated,"Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220","Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220; cross-check: ACS Omega 2020, DOI 10.1021/acsomega.9b03880",ir_neutral_cyclometalated,1,cyanide,1,bisoxazoline,P(OEt)3,TMSCN,nhp_ether_deoxygenative_asymmetric_cyanation,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
LIG-02,ligand,2,fac-Ir(ppy)3,1,CuCN,5,L2,6,DCM,25,0.1,12,450-465,measured,70.0,47.0,Table S4,17,10.1021/acs.orglett.5c05116,train,isolated yield,298.15,ClCCl,8.93,40.7,tabulated,"Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220","Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220; cross-check: ACS Omega 2020, DOI 10.1021/acsomega.9b03880",ir_neutral_cyclometalated,1,cyanide,1,bisoxazoline,P(OEt)3,TMSCN,nhp_ether_deoxygenative_asymmetric_cyanation,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
LIG-03,ligand,3,fac-Ir(ppy)3,1,CuCN,5,L3,6,DCM,25,0.1,12,450-465,measured,50.0,37.0,Table S4,17,10.1021/acs.orglett.5c05116,train,isolated yield,298.15,ClCCl,8.93,40.7,tabulated,"Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220","Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220; cross-check: ACS Omega 2020, DOI 10.1021/acsomega.9b03880",ir_neutral_cyclometalated,1,cyanide,1,bisoxazoline,P(OEt)3,TMSCN,nhp_ether_deoxygenative_asymmetric_cyanation,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
LIG-04,ligand,4,fac-Ir(ppy)3,1,CuCN,5,L4,6,DCM,25,0.1,12,450-465,less_than_50,,0.0,Table S4,17,10.1021/acs.orglett.5c05116,censored,yield printed as <50%; retained as interval only,298.15,ClCCl,8.93,40.7,tabulated,"Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220","Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220; cross-check: ACS Omega 2020, DOI 10.1021/acsomega.9b03880",ir_neutral_cyclometalated,1,cyanide,1,bisoxazoline,P(OEt)3,TMSCN,nhp_ether_deoxygenative_asymmetric_cyanation,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
LIG-05,ligand,5,fac-Ir(ppy)3,1,CuCN,5,L5,6,DCM,25,0.1,12,450-465,measured,50.0,25.0,Table S4,17,10.1021/acs.orglett.5c05116,train,isolated yield,298.15,ClCCl,8.93,40.7,tabulated,"Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220","Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220; cross-check: ACS Omega 2020, DOI 10.1021/acsomega.9b03880",ir_neutral_cyclometalated,1,cyanide,1,bisoxazoline,P(OEt)3,TMSCN,nhp_ether_deoxygenative_asymmetric_cyanation,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
LIG-06,ligand,6,fac-Ir(ppy)3,1,CuCN,5,L6,6,DCM,25,0.1,12,450-465,measured,50.0,25.0,Table S4,17,10.1021/acs.orglett.5c05116,train,isolated yield,298.15,ClCCl,8.93,40.7,tabulated,"Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220","Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220; cross-check: ACS Omega 2020, DOI 10.1021/acsomega.9b03880",ir_neutral_cyclometalated,1,cyanide,1,bisoxazoline,P(OEt)3,TMSCN,nhp_ether_deoxygenative_asymmetric_cyanation,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
TEMP-01,temperature,1,fac-Ir(ppy)3,1,CuCN,5,L1,6,DCM,25,0.1,12,450-465,measured,90.0,90.0,Table S5,18,10.1021/acs.orglett.5c05116,duplicate_anchor,rt represented as 25 C for software,298.15,ClCCl,8.93,40.7,tabulated,"Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220","Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220; cross-check: ACS Omega 2020, DOI 10.1021/acsomega.9b03880",ir_neutral_cyclometalated,1,cyanide,1,bisoxazoline,P(OEt)3,TMSCN,nhp_ether_deoxygenative_asymmetric_cyanation,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
TEMP-02,temperature,2,fac-Ir(ppy)3,1,CuCN,5,L1,6,DCM,0,0.1,12,450-465,measured,55.0,89.0,Table S5,18,10.1021/acs.orglett.5c05116,train,isolated yield,273.15,ClCCl,8.93,40.7,tabulated,"Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220","Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220; cross-check: ACS Omega 2020, DOI 10.1021/acsomega.9b03880",ir_neutral_cyclometalated,1,cyanide,1,bisoxazoline,P(OEt)3,TMSCN,nhp_ether_deoxygenative_asymmetric_cyanation,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
TEMP-03,temperature,3,fac-Ir(ppy)3,1,CuCN,5,L1,6,DCM,40,0.1,12,450-465,measured,92.0,90.0,Table S5,18,10.1021/acs.orglett.5c05116,train,isolated yield,313.15,ClCCl,8.93,40.7,tabulated,"Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220","Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220; cross-check: ACS Omega 2020, DOI 10.1021/acsomega.9b03880",ir_neutral_cyclometalated,1,cyanide,1,bisoxazoline,P(OEt)3,TMSCN,nhp_ether_deoxygenative_asymmetric_cyanation,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
OPT-01,reduced_loading,13,fac-Ir(ppy)3,1,CuCN,2,L1,3,DCM,25,0.1,12,450-465,measured,90.0,90.0,Table 1,2,10.1021/acs.orglett.5c05116,train,optimized condition at reduced Cu/ligand loading,298.15,ClCCl,8.93,40.7,tabulated,"Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220","Reichardt and Welton, Solvents and Solvent Effects in Organic Chemistry, DOI 10.1002/9783527632220; cross-check: ACS Omega 2020, DOI 10.1021/acsomega.9b03880",ir_neutral_cyclometalated,1,cyanide,1,bisoxazoline,P(OEt)3,TMSCN,nhp_ether_deoxygenative_asymmetric_cyanation,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
